[2022-09-17T10:30:06.764] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T10:30:07.025] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T10:50:09.878] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T10:50:09.884] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T10:50:10.347] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-09-17T10:50:12.464] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T10:50:12.469] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T11:08:14.328] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T11:08:14.334] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T11:08:14.829] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-09-17T11:08:15.893] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T11:08:15.902] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
