[2022-08-14T10:40:28.271] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:28.296] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:29.716] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:29.731] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:34.759] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:34.773] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:35.330] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:35.348] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:39.812] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:39.824] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:42.586] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:42.603] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:44.870] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:44.884] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:49.924] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:49.937] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:49.972] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:49.981] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:55.396] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:55.408] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:57.035] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:57.046] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:41:00.433] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:41:00.441] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:41:04.886] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:41:04.898] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:41:05.894] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:41:05.907] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:41:11.282] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:41:11.292] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
